,Lawyer,Matter Type,Jurisdiction,Industry,Client Role,Tort,Contract,Restitution,Statute,Injunction,Jurisdiction Motion,Motion to Strike,Summary Judgment,Claim Amount
7915,Lawyer Eta,Class Action (Competition),Ontario,Retail,Plaintiff,0,0,1,1,0,0,0,0,3920696
7916,Lawyer Theta,Class Action (Product Liabilty,Ontario,Technology,Defendant,1,0,1,1,1,1,0,1,7384549
7917,Lawyer Gamma,Class Action (Competition),British Columbia,Retail,Defendant,1,0,1,1,1,1,0,0,2246760
7918,Lawyer Eta,Action (Commercial),Alberta,Construction,Plaintiff,1,0,0,1,0,0,0,0,18708246
7919,Lawyer Eta,Class Action (Securities),Quebec,Retail,Defendant,1,0,0,1,0,1,1,0,6162546
7920,Lawyer Iota,Class Action (Securities),Alberta,Technology,Defendant,1,0,0,0,1,0,0,0,12700531
7921,Lawyer Alpha,Action (Securities),Ontario,Retail,Third Party,1,1,1,0,1,1,1,0,17854195
7922,Lawyer Zeta,Action (Product Liability),British Columbia,Pharmaceuticals,Plaintiff,1,0,1,1,0,1,0,1,19906495
7923,Lawyer Alpha,Action (Product Liability),Federal,Technology,Third Party,1,0,1,1,0,1,0,1,10884996
7924,Lawyer Zeta,Action (Commercial),Ontario,Retail,Third Party,1,0,1,1,1,0,1,0,2448829
7925,Lawyer Delta,Class Action (Securities),Federal,Pharmaceuticals,Defendant,0,1,1,0,0,1,1,0,7391082
7926,Lawyer Zeta,Action (Product Liability),Federal,Retail,Defendant,0,0,0,1,1,0,1,1,8208942
7927,Lawyer Eta,Class Action (Privacy,Federal,Insurance,Defendant,1,1,1,0,0,1,0,1,2382922
7928,Lawyer Alpha,Action (Privacy),Federal,Construction,Defendant,1,1,0,1,0,0,0,1,11621564
7929,Lawyer Beta,Action (Privacy),British Columbia,Construction,Defendant,0,1,1,0,0,0,1,1,2192929
7930,Lawyer Iota,Class Action (Competition),Federal,Transportation,Defendant,0,1,1,0,1,1,0,1,7675654
7931,Lawyer Beta,Class Action (Product Liabilty,Quebec,Technology,Plaintiff,0,1,0,1,1,0,0,0,3209990
7932,Lawyer Iota,Class Action (Securities),British Columbia,Retail,Plaintiff,0,1,0,0,0,0,0,0,11260491
7933,Lawyer Delta,Action (Securities),Quebec,Pharmaceuticals,Plaintiff,0,1,0,1,0,1,1,1,9176685
7934,Lawyer Eta,Class Action (Securities),Federal,Construction,Plaintiff,1,0,0,0,0,0,0,1,2038609
7935,Lawyer Delta,Class Action (Product Liabilty,Quebec,Resources,Plaintiff,0,0,0,0,0,1,1,1,1156906
7936,Lawyer Beta,Class Action (Privacy,Ontario,Construction,Third Party,1,0,1,1,0,1,1,0,15684339
7937,Lawyer Zeta,Action (Commercial),Alberta,Transportation,Plaintiff,0,1,0,1,0,0,1,1,13417736
7938,Lawyer Eta,Class Action (Product Liabilty,Quebec,Insurance,Third Party,0,0,0,0,1,0,0,0,2547145
7939,Lawyer Theta,Class Action (Competition),British Columbia,Insurance,Third Party,0,0,0,0,1,1,0,0,12163038
7940,Lawyer Zeta,Class Action (Securities),Quebec,Transportation,Third Party,1,0,1,0,1,1,1,0,933999
7941,Lawyer Beta,Class Action (Product Liabilty,Quebec,Banking,Defendant,0,1,1,0,0,1,1,1,7100467
7942,Lawyer Delta,Action (Privacy),Ontario,Technology,Defendant,0,1,1,1,0,1,0,1,10429461
7943,Lawyer Delta,Class Action (Securities),Federal,Construction,Defendant,1,1,0,0,1,1,0,1,12665500
7944,Lawyer Beta,Class Action (Securities),British Columbia,Technology,Plaintiff,1,1,0,1,0,0,0,0,1123108
7945,Lawyer Theta,Action (Commercial),Alberta,Insurance,Plaintiff,0,1,0,0,1,1,1,1,5327278
7946,Lawyer Gamma,Action (Privacy),Federal,Pharmaceuticals,Plaintiff,0,1,0,0,0,0,1,0,12811777
7947,Lawyer Delta,Class Action (Securities),Alberta,Pharmaceuticals,Defendant,0,1,0,1,0,1,1,0,19756490
7948,Lawyer Beta,Action (Product Liability),Ontario,Banking,Defendant,1,0,1,0,0,1,0,0,13281989
7949,Lawyer Theta,Action (Commercial),British Columbia,Transportation,Defendant,1,0,0,0,0,0,0,0,17144402
7950,Lawyer Beta,Class Action (Securities),Federal,Insurance,Third Party,1,1,1,1,0,0,0,0,4301980
7951,Lawyer Iota,Class Action (Competition),Ontario,Construction,Defendant,1,0,0,1,1,1,0,0,9677088
7952,Lawyer Theta,Action (Securities),British Columbia,Banking,Third Party,0,1,1,1,0,1,0,0,9828940
7953,Lawyer Alpha,Class Action (Competition),Federal,Retail,Defendant,0,1,0,0,0,0,0,1,16747418
7954,Lawyer Epsilon,Class Action (Securities),Quebec,Pharmaceuticals,Defendant,1,1,0,0,1,1,0,1,15923715
7955,Lawyer Beta,Action (Product Liability),Alberta,Transportation,Plaintiff,1,1,1,1,1,1,1,0,8583535
7956,Lawyer Kappa,Class Action (Competition),Ontario,Insurance,Third Party,0,1,1,1,1,0,0,0,1913633
7957,Lawyer Alpha,Action (Commercial),Quebec,Transportation,Defendant,1,1,0,0,1,1,0,0,5142515
7958,Lawyer Eta,Class Action (Securities),Alberta,Resources,Third Party,1,0,1,0,1,0,1,1,12253766
7959,Lawyer Epsilon,Class Action (Securities),British Columbia,Retail,Third Party,0,0,0,1,0,1,0,1,5803543
7960,Lawyer Beta,Action (Product Liability),Ontario,Technology,Third Party,1,1,1,0,0,1,0,1,8688385
7961,Lawyer Kappa,Action (Securities),Alberta,Construction,Plaintiff,1,1,0,0,0,1,0,0,13226591
7962,Lawyer Theta,Class Action (Privacy,Quebec,Pharmaceuticals,Plaintiff,0,0,0,0,1,1,1,1,739775
7963,Lawyer Epsilon,Action (Product Liability),Alberta,Retail,Defendant,0,0,0,1,0,0,0,1,2669295
7964,Lawyer Kappa,Action (Privacy),Alberta,Transportation,Plaintiff,0,0,1,1,0,0,0,0,5770276
7965,Lawyer Iota,Action (Product Liability),British Columbia,Resources,Third Party,0,0,1,0,1,0,1,1,5587412
7966,Lawyer Gamma,Action (Securities),British Columbia,Technology,Plaintiff,0,1,0,0,1,0,0,0,10564328
7967,Lawyer Theta,Class Action (Product Liabilty,Alberta,Pharmaceuticals,Defendant,1,1,0,1,0,0,1,0,9493792
7968,Lawyer Delta,Class Action (Product Liabilty,Quebec,Transportation,Third Party,0,0,0,1,0,0,1,1,3668934
7969,Lawyer Epsilon,Action (Privacy),Quebec,Insurance,Plaintiff,1,1,1,1,0,0,1,1,5039671
7970,Lawyer Gamma,Class Action (Securities),Federal,Transportation,Defendant,0,1,1,1,1,0,0,0,8397214
7971,Lawyer Eta,Action (Product Liability),Quebec,Construction,Third Party,1,1,1,1,0,1,0,1,5750017
7972,Lawyer Alpha,Class Action (Privacy,Alberta,Insurance,Third Party,0,1,0,0,1,1,1,1,17580222
7973,Lawyer Kappa,Class Action (Privacy,Quebec,Resources,Plaintiff,1,1,1,1,1,1,1,0,4981885
7974,Lawyer Gamma,Action (Product Liability),British Columbia,Construction,Third Party,1,1,0,0,0,1,1,0,16747179
7975,Lawyer Epsilon,Action (Commercial),Ontario,Resources,Plaintiff,1,0,0,1,1,0,0,1,14093168
7976,Lawyer Zeta,Class Action (Securities),Federal,Resources,Plaintiff,0,0,1,0,1,0,0,0,1748184
7977,Lawyer Kappa,Action (Commercial),Alberta,Retail,Plaintiff,0,0,0,1,1,1,0,0,10136823
7978,Lawyer Beta,Action (Securities),Alberta,Retail,Defendant,1,1,1,0,1,0,1,0,19782999
7979,Lawyer Delta,Action (Product Liability),Federal,Banking,Defendant,1,1,1,0,1,1,1,0,7212261
7980,Lawyer Zeta,Class Action (Securities),Alberta,Construction,Plaintiff,1,0,1,0,1,1,0,1,3006777
7981,Lawyer Eta,Action (Privacy),British Columbia,Technology,Plaintiff,0,0,1,0,1,0,0,1,13942261
7982,Lawyer Epsilon,Class Action (Product Liabilty,Federal,Construction,Defendant,1,0,1,1,0,1,0,1,2071359
7983,Lawyer Zeta,Class Action (Competition),Quebec,Insurance,Plaintiff,0,1,1,0,1,1,0,0,13089769
7984,Lawyer Delta,Action (Commercial),Quebec,Pharmaceuticals,Plaintiff,0,0,1,0,1,1,0,1,7843470
7985,Lawyer Alpha,Class Action (Competition),Alberta,Retail,Plaintiff,1,1,0,0,0,1,1,0,4848381
7986,Lawyer Delta,Class Action (Securities),Alberta,Transportation,Defendant,1,0,0,0,0,1,0,0,10851245
7987,Lawyer Theta,Action (Securities),Federal,Pharmaceuticals,Plaintiff,1,1,0,1,1,0,1,1,11779610
7988,Lawyer Theta,Class Action (Securities),Alberta,Pharmaceuticals,Defendant,1,0,1,0,1,0,1,1,14701645
7989,Lawyer Zeta,Action (Product Liability),Ontario,Pharmaceuticals,Third Party,1,0,0,1,1,1,1,0,2649945
7990,Lawyer Delta,Action (Product Liability),Ontario,Technology,Third Party,0,1,0,0,1,1,1,1,13295774
7991,Lawyer Epsilon,Class Action (Securities),Ontario,Banking,Third Party,0,0,1,1,1,0,0,0,4598700
7992,Lawyer Delta,Action (Securities),Federal,Banking,Defendant,1,0,1,0,1,0,0,0,15038667
7993,Lawyer Delta,Class Action (Privacy,British Columbia,Banking,Plaintiff,1,1,0,0,0,1,0,0,4837517
7994,Lawyer Beta,Class Action (Product Liabilty,Federal,Insurance,Plaintiff,0,1,0,0,1,1,0,1,13902155
7995,Lawyer Delta,Class Action (Competition),Alberta,Transportation,Third Party,1,1,0,0,1,1,1,0,12745851
7996,Lawyer Delta,Action (Securities),British Columbia,Retail,Defendant,0,1,1,0,1,1,0,0,17658031
7997,Lawyer Zeta,Class Action (Product Liabilty,Quebec,Technology,Third Party,0,1,0,1,1,0,0,1,18695464
7998,Lawyer Iota,Action (Commercial),Federal,Construction,Third Party,1,1,0,1,0,0,1,0,13137773
7999,Lawyer Zeta,Class Action (Product Liabilty,Quebec,Pharmaceuticals,Third Party,0,0,1,1,0,0,0,0,801936
8000,Lawyer Theta,Class Action (Competition),Federal,Banking,Third Party,0,0,0,1,0,0,1,1,5557378
8001,Lawyer Gamma,Action (Securities),British Columbia,Pharmaceuticals,Third Party,0,0,0,0,0,1,1,1,1290514
8002,Lawyer Beta,Action (Privacy),Alberta,Construction,Defendant,0,0,1,0,1,0,0,1,18586917
8003,Lawyer Theta,Class Action (Securities),Federal,Banking,Third Party,0,0,0,0,0,0,1,0,14739073
8004,Lawyer Alpha,Class Action (Privacy,British Columbia,Transportation,Defendant,1,0,0,1,1,1,0,1,8821730
8005,Lawyer Beta,Class Action (Competition),Federal,Resources,Plaintiff,1,1,1,1,0,1,0,0,2229043
8006,Lawyer Kappa,Action (Product Liability),Ontario,Insurance,Plaintiff,0,1,1,0,0,0,0,1,18275426
8007,Lawyer Kappa,Class Action (Product Liabilty,Ontario,Pharmaceuticals,Defendant,0,0,1,1,0,1,0,0,14491803
8008,Lawyer Eta,Action (Securities),Ontario,Resources,Plaintiff,1,0,1,0,1,0,1,1,4896555
8009,Lawyer Iota,Class Action (Securities),Quebec,Pharmaceuticals,Third Party,1,0,1,1,0,1,0,1,3129734
8010,Lawyer Eta,Class Action (Privacy,Alberta,Resources,Plaintiff,0,0,0,0,0,0,0,1,9782589
8011,Lawyer Zeta,Action (Securities),British Columbia,Resources,Third Party,0,0,0,0,1,0,0,0,8726016
8012,Lawyer Theta,Action (Product Liability),Quebec,Pharmaceuticals,Plaintiff,1,0,0,0,0,0,1,0,16120612
8013,Lawyer Delta,Class Action (Securities),Alberta,Retail,Defendant,0,1,0,0,0,1,1,0,15273481
8014,Lawyer Gamma,Class Action (Product Liabilty,Federal,Resources,Third Party,1,1,1,1,0,0,1,1,17469391
8015,Lawyer Zeta,Class Action (Securities),British Columbia,Banking,Third Party,0,0,1,0,1,1,1,0,5648467
8016,Lawyer Beta,Class Action (Product Liabilty,Alberta,Pharmaceuticals,Defendant,0,0,1,0,0,1,0,1,1147532
8017,Lawyer Alpha,Class Action (Product Liabilty,Federal,Insurance,Third Party,1,0,1,1,0,0,0,1,13469220
8018,Lawyer Epsilon,Class Action (Privacy,Quebec,Technology,Plaintiff,1,0,0,1,1,1,0,1,7241343
8019,Lawyer Iota,Action (Product Liability),British Columbia,Insurance,Third Party,1,1,0,1,1,0,1,1,16660757
8020,Lawyer Theta,Class Action (Competition),Ontario,Retail,Third Party,1,1,0,0,0,0,0,0,7680394
8021,Lawyer Eta,Class Action (Securities),British Columbia,Retail,Third Party,1,1,1,1,0,0,0,0,17741361
8022,Lawyer Eta,Class Action (Competition),Federal,Insurance,Defendant,0,1,1,1,1,1,1,0,9635428
8023,Lawyer Epsilon,Action (Privacy),Federal,Transportation,Defendant,0,1,1,1,1,0,1,1,14535966
8024,Lawyer Gamma,Class Action (Securities),British Columbia,Banking,Defendant,1,0,0,0,0,1,0,1,18406690
8025,Lawyer Alpha,Class Action (Product Liabilty,Federal,Resources,Plaintiff,1,0,1,0,0,1,0,0,4916176
8026,Lawyer Epsilon,Action (Privacy),Quebec,Insurance,Defendant,1,0,1,1,0,1,0,0,16341997
8027,Lawyer Delta,Class Action (Product Liabilty,Federal,Retail,Third Party,0,0,1,1,1,1,0,1,3819332
8028,Lawyer Beta,Class Action (Product Liabilty,Ontario,Transportation,Defendant,0,1,1,0,1,0,0,1,9512875
8029,Lawyer Epsilon,Action (Product Liability),Alberta,Construction,Defendant,0,1,0,0,0,1,0,0,12897741
8030,Lawyer Eta,Action (Product Liability),Alberta,Banking,Defendant,1,0,1,0,1,1,0,0,7576273
8031,Lawyer Eta,Action (Product Liability),Ontario,Construction,Third Party,1,1,0,1,1,0,1,1,5608328
8032,Lawyer Gamma,Action (Privacy),Alberta,Transportation,Defendant,0,1,1,1,0,1,1,1,17240396
8033,Lawyer Iota,Class Action (Securities),Alberta,Resources,Defendant,0,1,0,1,0,1,0,1,9569969
8034,Lawyer Iota,Action (Commercial),Federal,Retail,Third Party,1,0,1,1,1,0,0,0,3988200
8035,Lawyer Delta,Class Action (Privacy,Federal,Technology,Plaintiff,1,1,1,0,0,1,0,0,11838787
8036,Lawyer Delta,Class Action (Privacy,Quebec,Banking,Plaintiff,0,0,0,0,0,1,1,1,3837882
8037,Lawyer Theta,Action (Commercial),Ontario,Construction,Plaintiff,1,1,0,1,0,0,1,1,13487597
8038,Lawyer Zeta,Class Action (Privacy,British Columbia,Retail,Defendant,0,0,0,0,0,1,1,1,2989279
8039,Lawyer Kappa,Action (Securities),Federal,Technology,Third Party,1,1,1,1,0,0,0,0,16326229
8040,Lawyer Alpha,Action (Securities),Federal,Construction,Defendant,1,1,0,0,0,0,0,1,14567793
8041,Lawyer Gamma,Class Action (Competition),Quebec,Transportation,Third Party,0,0,1,1,0,0,1,1,4177050
8042,Lawyer Delta,Class Action (Competition),Alberta,Banking,Plaintiff,1,1,0,1,0,0,0,1,17146174
8043,Lawyer Eta,Action (Commercial),Quebec,Construction,Third Party,0,1,1,1,0,1,0,1,18356663
8044,Lawyer Eta,Class Action (Privacy,Alberta,Resources,Third Party,0,0,0,1,1,1,0,0,17735412
8045,Lawyer Iota,Class Action (Securities),Alberta,Retail,Defendant,0,1,0,0,0,0,1,0,9222954
8046,Lawyer Alpha,Class Action (Product Liabilty,British Columbia,Retail,Plaintiff,1,0,0,0,1,0,0,1,5135218
8047,Lawyer Gamma,Action (Privacy),Alberta,Technology,Plaintiff,1,1,1,0,1,0,1,0,6340285
8048,Lawyer Alpha,Action (Securities),Ontario,Insurance,Defendant,1,0,1,0,1,0,1,1,4414729
8049,Lawyer Zeta,Action (Product Liability),Ontario,Technology,Defendant,1,0,0,1,0,1,0,1,9986952
8050,Lawyer Alpha,Action (Securities),Alberta,Construction,Plaintiff,1,1,1,0,1,1,1,1,16613009
8051,Lawyer Iota,Action (Privacy),Quebec,Transportation,Plaintiff,1,1,1,1,1,0,0,1,4227026
8052,Lawyer Kappa,Class Action (Competition),British Columbia,Insurance,Plaintiff,0,1,1,0,0,1,1,0,12191477
8053,Lawyer Epsilon,Action (Securities),Quebec,Retail,Defendant,0,0,0,1,1,1,0,0,10731712
8054,Lawyer Theta,Class Action (Privacy,British Columbia,Banking,Third Party,1,1,1,1,0,0,0,1,17504438
8055,Lawyer Kappa,Class Action (Competition),British Columbia,Banking,Defendant,0,1,0,0,0,0,1,0,17114156
8056,Lawyer Iota,Action (Product Liability),Quebec,Construction,Defendant,0,0,0,1,0,0,1,1,6761930
8057,Lawyer Gamma,Action (Commercial),Quebec,Banking,Third Party,1,1,0,1,1,0,0,0,1314346
8058,Lawyer Theta,Class Action (Competition),Federal,Retail,Plaintiff,0,1,1,1,1,0,1,0,13450052
8059,Lawyer Zeta,Class Action (Product Liabilty,Federal,Transportation,Third Party,0,1,1,1,0,1,1,0,13554009
8060,Lawyer Gamma,Class Action (Privacy,Federal,Construction,Plaintiff,1,0,1,0,1,0,0,0,18481119
8061,Lawyer Theta,Action (Securities),British Columbia,Technology,Defendant,0,0,1,0,1,0,0,0,6865807
8062,Lawyer Iota,Class Action (Securities),Quebec,Retail,Defendant,1,0,0,1,1,0,0,1,14209334
8063,Lawyer Eta,Action (Privacy),British Columbia,Pharmaceuticals,Plaintiff,1,1,0,1,0,0,1,0,4613274
8064,Lawyer Kappa,Action (Product Liability),British Columbia,Technology,Plaintiff,1,1,0,1,0,1,1,1,13565068
8065,Lawyer Theta,Class Action (Competition),British Columbia,Insurance,Defendant,0,1,0,0,0,1,0,1,14407602
8066,Lawyer Theta,Class Action (Product Liabilty,Alberta,Transportation,Defendant,0,0,1,0,0,0,1,1,19436054
8067,Lawyer Zeta,Action (Commercial),Quebec,Pharmaceuticals,Third Party,1,1,0,1,0,0,1,1,5056347
8068,Lawyer Kappa,Action (Securities),Alberta,Technology,Defendant,1,0,0,0,0,0,1,1,11646751
8069,Lawyer Zeta,Class Action (Product Liabilty,British Columbia,Banking,Defendant,0,0,1,1,1,0,1,1,7950497
8070,Lawyer Theta,Action (Securities),Federal,Insurance,Defendant,0,1,0,0,0,0,1,1,5636798
8071,Lawyer Beta,Action (Commercial),Quebec,Transportation,Third Party,1,1,1,1,0,1,1,0,7592581
8072,Lawyer Delta,Action (Product Liability),Quebec,Construction,Defendant,0,1,1,1,0,1,0,0,9370682
8073,Lawyer Gamma,Action (Commercial),British Columbia,Technology,Third Party,1,1,1,0,0,0,1,1,10917081
8074,Lawyer Alpha,Class Action (Product Liabilty,Quebec,Retail,Third Party,1,0,0,0,0,1,1,1,16654141
8075,Lawyer Delta,Action (Privacy),Alberta,Construction,Third Party,1,0,0,1,0,1,0,1,11753796
8076,Lawyer Zeta,Class Action (Securities),British Columbia,Transportation,Plaintiff,0,0,0,0,1,0,1,1,3275628
8077,Lawyer Zeta,Action (Commercial),Quebec,Retail,Plaintiff,0,0,0,0,0,0,0,1,9936099
8078,Lawyer Kappa,Action (Commercial),Ontario,Construction,Plaintiff,1,1,1,0,1,0,1,0,18282378
8079,Lawyer Alpha,Action (Securities),Alberta,Construction,Defendant,1,1,0,0,1,0,1,0,3685216
8080,Lawyer Beta,Action (Product Liability),Alberta,Resources,Defendant,1,0,0,1,1,1,0,0,913853
8081,Lawyer Zeta,Action (Securities),Ontario,Resources,Defendant,0,1,0,1,1,0,1,0,17830717
8082,Lawyer Gamma,Action (Privacy),British Columbia,Construction,Plaintiff,1,1,0,0,0,1,1,1,19016740
8083,Lawyer Alpha,Class Action (Securities),Quebec,Pharmaceuticals,Plaintiff,0,1,0,0,1,0,0,0,19288001
8084,Lawyer Kappa,Action (Product Liability),Alberta,Construction,Plaintiff,1,1,1,0,0,1,1,1,14336552
8085,Lawyer Zeta,Class Action (Competition),Federal,Insurance,Plaintiff,1,0,0,0,1,1,1,1,6123450
8086,Lawyer Alpha,Action (Product Liability),British Columbia,Insurance,Defendant,1,0,0,0,0,0,1,1,9354217
8087,Lawyer Beta,Class Action (Privacy,Alberta,Transportation,Defendant,0,0,1,0,0,1,0,1,5199904
8088,Lawyer Gamma,Class Action (Privacy,Federal,Insurance,Plaintiff,0,1,0,1,0,0,0,1,13717802
8089,Lawyer Zeta,Class Action (Product Liabilty,Quebec,Retail,Defendant,1,1,1,1,1,0,1,1,7865898
8090,Lawyer Kappa,Action (Privacy),Federal,Resources,Defendant,0,0,0,0,1,1,0,1,13435732
8091,Lawyer Gamma,Class Action (Securities),British Columbia,Technology,Defendant,1,1,0,0,0,0,1,0,13737898
8092,Lawyer Zeta,Action (Product Liability),Quebec,Pharmaceuticals,Defendant,1,0,1,1,1,0,1,0,13118319
8093,Lawyer Delta,Class Action (Competition),Quebec,Retail,Third Party,0,1,0,0,0,0,1,0,9887588
8094,Lawyer Epsilon,Action (Privacy),Ontario,Banking,Defendant,0,0,1,0,1,0,1,0,17320511
8095,Lawyer Theta,Action (Commercial),Federal,Pharmaceuticals,Third Party,1,0,0,0,0,0,1,0,6724870
8096,Lawyer Beta,Class Action (Product Liabilty,Quebec,Insurance,Third Party,0,1,0,0,1,0,0,1,1739659
8097,Lawyer Gamma,Class Action (Competition),British Columbia,Technology,Defendant,1,1,1,1,0,1,1,0,5500603
8098,Lawyer Alpha,Action (Securities),British Columbia,Construction,Defendant,1,0,1,0,0,1,1,1,16110898
8099,Lawyer Kappa,Class Action (Product Liabilty,Quebec,Technology,Defendant,0,1,0,1,0,0,0,1,527600
8100,Lawyer Iota,Class Action (Securities),Quebec,Transportation,Third Party,0,0,1,0,1,0,0,0,8760107
8101,Lawyer Kappa,Action (Product Liability),British Columbia,Technology,Third Party,0,1,1,1,0,1,1,0,2152283
8102,Lawyer Iota,Class Action (Product Liabilty,Federal,Banking,Third Party,0,0,0,1,1,0,0,0,12343438
8103,Lawyer Theta,Action (Securities),Quebec,Pharmaceuticals,Defendant,1,0,1,0,0,1,0,1,15289224
8104,Lawyer Zeta,Class Action (Product Liabilty,Alberta,Insurance,Third Party,1,0,0,0,1,1,0,1,10269686
8105,Lawyer Eta,Class Action (Competition),Ontario,Insurance,Defendant,0,1,1,1,1,1,1,1,6804027
8106,Lawyer Epsilon,Action (Securities),Ontario,Transportation,Plaintiff,0,0,0,0,1,0,0,0,12814803
8107,Lawyer Zeta,Class Action (Securities),Ontario,Retail,Plaintiff,0,1,1,0,1,0,1,1,13142156
8108,Lawyer Beta,Action (Product Liability),Federal,Banking,Plaintiff,0,0,0,0,0,0,0,0,8315667
8109,Lawyer Epsilon,Action (Commercial),Ontario,Technology,Third Party,1,0,0,0,1,0,1,0,7173173
8110,Lawyer Beta,Action (Commercial),British Columbia,Construction,Plaintiff,1,0,1,1,0,1,0,0,10116697
8111,Lawyer Eta,Class Action (Privacy,Alberta,Pharmaceuticals,Defendant,1,0,1,0,1,1,1,0,9567818
8112,Lawyer Alpha,Class Action (Securities),Ontario,Construction,Defendant,1,1,0,0,0,0,1,1,14560284
8113,Lawyer Theta,Class Action (Competition),Ontario,Resources,Plaintiff,0,1,1,0,0,0,0,1,6362599
8114,Lawyer Kappa,Class Action (Privacy,Federal,Construction,Plaintiff,1,0,0,1,0,0,1,0,19748036
8115,Lawyer Eta,Action (Commercial),Quebec,Construction,Third Party,0,1,1,0,1,0,0,1,4982351
8116,Lawyer Theta,Action (Privacy),Quebec,Resources,Plaintiff,0,0,0,1,1,1,0,0,16739713
8117,Lawyer Zeta,Class Action (Competition),Alberta,Pharmaceuticals,Defendant,1,1,0,1,0,1,1,1,10301508
8118,Lawyer Delta,Class Action (Securities),Ontario,Insurance,Defendant,1,1,0,1,1,0,1,1,12572694
8119,Lawyer Zeta,Class Action (Securities),Quebec,Construction,Plaintiff,1,1,1,1,1,1,0,1,19580719
8120,Lawyer Delta,Class Action (Securities),British Columbia,Pharmaceuticals,Third Party,0,1,1,0,0,0,1,1,1119875
8121,Lawyer Gamma,Action (Commercial),Quebec,Transportation,Defendant,0,1,0,1,0,0,1,1,2770251
8122,Lawyer Gamma,Class Action (Competition),British Columbia,Retail,Third Party,1,1,0,0,0,0,1,1,7728826
8123,Lawyer Theta,Action (Commercial),British Columbia,Retail,Plaintiff,1,0,0,1,0,0,1,1,15326462
8124,Lawyer Epsilon,Action (Commercial),British Columbia,Retail,Plaintiff,0,0,1,1,0,0,0,1,15865417
8125,Lawyer Iota,Action (Product Liability),Ontario,Technology,Defendant,1,0,1,1,1,1,0,1,17621046
8126,Lawyer Beta,Class Action (Product Liabilty,Federal,Technology,Plaintiff,1,0,1,1,1,1,1,0,10785483
8127,Lawyer Kappa,Class Action (Product Liabilty,Quebec,Resources,Third Party,0,1,0,0,0,0,0,0,16559395
8128,Lawyer Kappa,Class Action (Product Liabilty,Alberta,Insurance,Third Party,0,1,1,1,0,1,1,1,7697245
8129,Lawyer Beta,Action (Securities),Ontario,Pharmaceuticals,Plaintiff,0,1,0,0,0,0,0,1,4649702
8130,Lawyer Epsilon,Class Action (Securities),Quebec,Transportation,Plaintiff,0,1,0,0,1,0,1,0,1481457
8131,Lawyer Delta,Class Action (Privacy,Quebec,Transportation,Plaintiff,0,1,0,0,1,0,1,0,4516309
8132,Lawyer Eta,Class Action (Competition),British Columbia,Resources,Defendant,1,0,0,0,1,0,1,0,9604134
8133,Lawyer Zeta,Action (Product Liability),Alberta,Transportation,Defendant,1,0,0,0,1,1,1,1,15439486
8134,Lawyer Beta,Class Action (Product Liabilty,British Columbia,Construction,Third Party,1,0,0,0,1,1,0,1,3350716
8135,Lawyer Kappa,Class Action (Product Liabilty,Ontario,Construction,Third Party,1,1,1,1,1,1,1,1,19996434
8136,Lawyer Theta,Action (Securities),Federal,Retail,Plaintiff,1,0,1,0,0,1,0,0,11868137
8137,Lawyer Gamma,Action (Securities),Ontario,Transportation,Plaintiff,0,1,1,1,0,0,0,0,3235802
8138,Lawyer Zeta,Class Action (Product Liabilty,Alberta,Banking,Plaintiff,0,1,1,0,0,1,1,0,4580864
8139,Lawyer Zeta,Action (Securities),Federal,Pharmaceuticals,Plaintiff,0,0,1,0,1,1,0,0,16945826
8140,Lawyer Beta,Action (Privacy),Alberta,Transportation,Third Party,1,0,0,1,1,0,1,1,13928980
8141,Lawyer Gamma,Class Action (Competition),Federal,Transportation,Defendant,1,1,0,0,0,1,0,1,6001765
8142,Lawyer Delta,Class Action (Competition),British Columbia,Retail,Third Party,1,0,0,0,0,1,1,1,12152302
8143,Lawyer Epsilon,Action (Product Liability),Ontario,Pharmaceuticals,Defendant,0,1,0,1,1,1,1,0,13956038
8144,Lawyer Kappa,Class Action (Competition),Alberta,Technology,Third Party,1,1,1,1,1,0,1,0,1171233
8145,Lawyer Eta,Action (Commercial),Ontario,Insurance,Third Party,0,0,1,0,0,1,0,1,12290218
8146,Lawyer Delta,Class Action (Privacy,Federal,Insurance,Third Party,1,0,0,0,0,1,1,0,8461567
8147,Lawyer Gamma,Action (Securities),British Columbia,Pharmaceuticals,Plaintiff,1,0,0,0,0,0,1,0,5618941
8148,Lawyer Zeta,Action (Product Liability),Federal,Resources,Plaintiff,1,0,1,1,0,0,0,1,15704404
8149,Lawyer Theta,Action (Securities),Alberta,Technology,Defendant,1,0,0,1,1,1,0,0,18879390
8150,Lawyer Delta,Action (Securities),Alberta,Transportation,Third Party,0,0,0,0,1,0,0,1,1847035
8151,Lawyer Iota,Class Action (Product Liabilty,Quebec,Banking,Plaintiff,1,1,0,0,0,1,1,1,11223276
8152,Lawyer Gamma,Action (Product Liability),Ontario,Technology,Third Party,1,0,0,1,1,0,0,1,17594315
8153,Lawyer Epsilon,Class Action (Product Liabilty,British Columbia,Banking,Defendant,1,0,1,0,1,0,1,0,7179471
8154,Lawyer Beta,Action (Privacy),British Columbia,Transportation,Third Party,0,1,1,1,1,1,1,1,5084806
8155,Lawyer Alpha,Class Action (Securities),Quebec,Insurance,Defendant,0,1,1,0,0,1,1,0,10644641
8156,Lawyer Gamma,Action (Privacy),Federal,Banking,Plaintiff,1,0,0,1,1,1,0,1,16715960
